Time,HeatFlux,T_amb,Temperature
137,0.0,21.0,21.0
138,0.0,21.0,21.0
139,0.0,21.0,21.0
140,0.0,21.0,21.0
141,0.0,21.0,21.0
142,0.0,21.0,21.0
143,0.0,21.0,21.0
144,0.0,21.0,21.0
145,0.0,21.0,21.0
146,0.0,21.0,21.0
147,0.0,21.0,21.0
148,200.0,21.0,21.0
149,200.0,21.0,21.0
150,200.0,21.0,21.0
151,200.0,21.0,21.0
152,200.0,21.0,21.0
153,200.0,21.0,21.0
154,200.0,21.0,21.0
155,200.0,21.0,21.0
156,200.0,21.0,21.0
157,200.0,21.0,21.0
158,200.0,21.0,21.0
159,200.0,21.0,21.0
160,200.0,21.0,21.0
161,200.0,21.0,21.0
162,200.0,21.0,21.0
163,200.0,21.0,21.0
164,200.0,21.0,21.0
165,200.0,21.0,21.0
166,200.0,21.0,21.0
167,200.0,21.0,21.0
168,200.0,21.0,21.0
169,200.0,21.0,21.0
170,200.0,21.0,21.0
171,200.0,21.0,21.0
172,200.0,21.0,21.0
173,200.0,21.0,21.0
174,200.0,21.0,21.0
175,200.0,21.0,21.0
176,200.0,21.0,21.0
177,200.0,21.0,21.0
178,200.0,21.0,21.0
179,200.0,21.0,21.0
180,200.0,21.0,21.0
181,200.0,21.0,21.0
182,200.0,21.0,21.0
183,200.0,21.0,21.0
184,200.0,21.0,21.0
185,200.0,21.0,21.0
186,200.0,21.0,21.0
187,200.0,21.0,21.0
188,200.0,21.0,21.0
189,200.0,21.0,21.0
190,200.0,21.0,21.0
191,200.0,21.0,21.0
192,200.0,21.0,21.0
193,200.0,21.0,21.0
194,200.0,21.0,21.0
195,200.0,21.0,21.0
196,200.0,21.0,21.0
197,200.0,21.0,21.0
198,200.0,21.0,21.0
199,200.0,21.0,21.0
200,200.0,21.0,21.0
201,200.0,21.0,21.0
202,200.0,21.0,21.0
203,200.0,21.0,21.0
204,200.0,21.0,21.0
205,200.0,21.0,21.0
206,200.0,21.0,21.0
207,200.0,21.0,21.0
208,200.0,21.0,21.0
209,200.0,21.0,21.0
210,200.0,21.0,21.0
211,200.0,21.0,21.0
212,200.0,21.0,21.0
213,200.0,21.0,21.0
214,200.0,21.0,21.0
215,200.0,21.0,21.0
216,200.0,21.0,21.0
217,200.0,21.0,21.0
218,200.0,21.0,21.0
219,200.0,21.0,21.0
220,200.0,21.0,21.0
221,200.0,21.0,21.0
222,0.0,21.0,21.0
223,0.0,21.0,21.0
224,0.0,21.0,21.0
225,0.0,21.0,21.0
226,0.0,21.0,21.0
227,0.0,21.0,21.0
228,0.0,21.0,21.0
229,0.0,21.0,21.0
230,0.0,21.0,21.0
231,0.0,21.0,21.0
232,0.0,21.0,21.0
233,0.0,21.0,21.0
234,0.0,21.0,21.0
235,0.0,21.0,21.0
236,0.0,21.0,21.0
237,0.0,21.0,21.0
238,0.0,21.0,21.0
239,0.0,21.0,21.0
240,0.0,21.0,21.0
241,0.0,21.0,21.0
242,0.0,21.0,21.0
243,0.0,21.0,21.0
244,0.0,21.0,21.0
245,0.0,21.0,21.0
246,0.0,21.0,21.0
247,0.0,21.0,21.0
248,0.0,21.0,21.0
249,0.0,21.0,21.0
250,0.0,21.0,21.0
251,0.0,21.0,21.0
252,0.0,21.0,21.0
253,0.0,21.0,21.0
254,0.0,21.0,21.0
255,0.0,21.0,21.0
256,0.0,21.0,21.0
257,0.0,21.0,21.0
258,0.0,21.0,21.0
259,0.0,21.0,21.0
260,0.0,21.0,21.0
261,0.0,21.0,21.0
262,0.0,21.0,21.0
263,0.0,21.0,21.0
264,0.0,21.0,21.0
265,0.0,21.0,21.0
266,0.0,21.0,21.0
267,0.0,21.0,21.0
268,0.0,21.0,21.0
269,0.0,21.0,21.0
270,0.0,21.0,21.0
271,0.0,21.0,21.0
272,0.0,21.0,21.0
273,0.0,21.0,21.0
274,0.0,21.0,21.0
275,0.0,21.0,21.0
276,0.0,21.0,21.0
277,0.0,21.0,21.0
278,0.0,21.0,21.0
279,0.0,21.0,21.0
280,0.0,21.0,21.0
281,0.0,21.0,21.0
282,0.0,21.0,21.0
283,0.0,21.0,21.0
284,0.0,21.0,21.0
285,0.0,21.0,21.0
286,0.0,21.0,21.0
287,0.0,21.0,21.0
288,0.0,21.0,21.0
289,0.0,21.0,21.0
290,0.0,21.0,21.0
291,0.0,21.0,21.0
292,0.0,21.0,21.0
293,0.0,21.0,21.0
294,0.0,21.0,21.0
295,0.0,21.0,21.0
296,200.0,21.0,21.0
297,200.0,21.0,21.0
298,200.0,21.0,21.0
299,200.0,21.0,21.0
300,200.0,21.0,21.0
301,200.0,21.0,21.0
302,200.0,21.0,21.0
303,200.0,21.0,21.0
304,200.0,21.0,21.0
305,200.0,21.0,21.0
306,200.0,21.0,21.0
307,200.0,21.0,21.0
308,200.0,21.0,21.0
309,200.0,21.0,21.0
310,200.0,21.0,21.0
311,200.0,21.0,21.0
312,200.0,21.0,21.0
313,200.0,21.0,21.0
314,200.0,21.0,21.0
315,200.0,21.0,21.0
316,200.0,21.0,21.0
317,200.0,21.0,21.0
318,200.0,21.0,21.0
319,200.0,21.0,21.0
320,200.0,21.0,21.0
321,200.0,21.0,21.0
322,200.0,21.0,21.0
323,200.0,21.0,21.0
324,200.0,21.0,21.0
325,200.0,21.0,21.0
326,200.0,21.0,21.0
327,200.0,21.0,21.0
328,200.0,21.0,21.0
329,200.0,21.0,21.0
330,200.0,21.0,21.0
331,200.0,21.0,21.0
332,200.0,21.0,21.0
333,200.0,21.0,21.0
334,200.0,21.0,21.0
335,200.0,21.0,21.0
336,200.0,21.0,21.0
337,200.0,21.0,21.0
338,200.0,21.0,21.0
339,200.0,21.0,21.0
340,200.0,21.0,21.0
341,200.0,21.0,21.0
342,200.0,21.0,21.0
343,200.0,21.0,21.0
344,200.0,21.0,21.0
345,200.0,21.0,21.0
346,200.0,21.0,21.0
347,200.0,21.0,21.0
348,200.0,21.0,21.0
349,200.0,21.0,21.0
350,200.0,21.0,21.0
351,200.0,21.0,21.0
352,200.0,21.0,21.0
353,200.0,21.0,21.0
354,200.0,21.0,21.0
355,200.0,21.0,21.0
356,200.0,21.0,21.0
357,200.0,21.0,21.0
358,200.0,21.0,21.0
359,200.0,21.0,21.0
360,200.0,21.0,21.0
361,200.0,21.0,21.0
362,200.0,21.0,21.0
363,200.0,21.0,21.0
364,200.0,21.0,21.0
365,200.0,21.0,21.0
366,200.0,21.0,21.0
367,200.0,21.0,21.0
368,200.0,21.0,21.0
369,200.0,21.0,21.0
370,0.0,21.0,21.0
371,0.0,21.0,21.0
372,0.0,21.0,21.0
373,0.0,21.0,21.0
374,0.0,21.0,21.0
375,0.0,21.0,21.0
376,0.0,21.0,21.0
377,0.0,21.0,21.0
378,0.0,21.0,21.0
379,0.0,21.0,21.0
380,0.0,21.0,21.0
381,0.0,21.0,21.0
382,0.0,21.0,21.0
383,0.0,21.0,21.0
384,0.0,21.0,21.0
385,0.0,21.0,21.0
386,0.0,21.0,21.0
387,0.0,21.0,21.0
388,0.0,21.0,21.0
389,0.0,21.0,21.0
390,0.0,21.0,21.0
391,0.0,21.0,21.0
392,0.0,21.0,21.0
393,0.0,21.0,21.0
394,0.0,21.0,21.0
395,0.0,21.0,21.0
396,0.0,21.0,21.0
397,0.0,21.0,21.0
398,0.0,21.0,21.0
399,0.0,21.0,21.0
400,0.0,21.0,21.0
401,0.0,21.0,21.0
402,0.0,21.0,21.0
403,0.0,21.0,21.0
404,0.0,21.0,21.0
405,0.0,21.0,21.0
406,0.0,21.0,21.0
407,0.0,21.0,21.0
408,0.0,21.0,21.0
409,0.0,21.0,21.0
410,0.0,21.0,21.0
411,0.0,21.0,21.0
412,0.0,21.0,21.0
413,0.0,21.0,21.0
414,0.0,21.0,21.0
415,0.0,21.0,21.0
416,0.0,21.0,21.0
417,0.0,21.0,21.0
418,0.0,21.0,21.0
419,0.0,21.0,21.0
420,0.0,21.0,21.0
421,0.0,21.0,21.0
422,0.0,21.0,21.0
423,0.0,21.0,21.0
424,0.0,21.0,21.0
425,0.0,21.0,21.0
426,0.0,21.0,21.0
427,0.0,21.0,21.0
428,0.0,21.0,21.0
429,0.0,21.0,21.0
430,0.0,21.0,21.0
431,0.0,21.0,21.0
432,0.0,21.0,21.0
433,0.0,21.0,21.0
434,0.0,21.0,21.0
435,0.0,21.0,21.0
436,0.0,21.0,21.0
437,0.0,21.0,21.0
438,0.0,21.0,21.0
439,0.0,21.0,21.0
440,0.0,21.0,21.0
441,0.0,21.0,21.0
442,0.0,21.0,21.0
443,0.0,21.0,21.0
444,200.0,21.0,21.0
445,200.0,21.0,21.0
446,200.0,21.0,21.0
447,200.0,21.0,21.0
448,200.0,21.0,21.0
449,200.0,21.0,21.0
450,200.0,21.0,21.0
451,200.0,21.0,21.0
452,200.0,21.0,21.0
453,200.0,21.0,21.0
454,200.0,21.0,21.0
455,200.0,21.0,21.0
456,200.0,21.0,21.0
457,200.0,21.0,21.0
458,200.0,21.0,21.0
459,200.0,21.0,21.0
460,200.0,21.0,21.0
461,200.0,21.0,21.0
462,200.0,21.0,21.0
463,200.0,21.0,21.0
464,200.0,21.0,21.0
465,200.0,21.0,21.0
466,200.0,21.0,21.0
467,200.0,21.0,21.0
468,200.0,21.0,21.0
469,200.0,21.0,21.0
470,200.0,21.0,21.0
471,200.0,21.0,21.0
472,200.0,21.0,21.0
473,200.0,21.0,21.0
474,200.0,21.0,21.0
475,200.0,21.0,21.0
476,200.0,21.0,21.0
477,200.0,21.0,21.0
478,200.0,21.0,21.0
479,200.0,21.0,21.0
480,200.0,21.0,21.0
481,200.0,21.0,21.0
482,200.0,21.0,21.0
483,200.0,21.0,21.0
484,200.0,21.0,21.0
485,200.0,21.0,21.0
486,200.0,21.0,21.0
487,200.0,21.0,21.0
488,200.0,21.0,21.0
489,200.0,21.0,21.0
490,200.0,21.0,21.0
491,200.0,21.0,21.0
492,200.0,21.0,21.0
493,200.0,21.0,21.0
494,200.0,21.0,21.0
495,200.0,21.0,21.0
496,200.0,21.0,21.0
497,200.0,21.0,21.0
498,200.0,21.0,21.0
499,200.0,21.0,21.0
500,200.0,21.0,21.0
501,200.0,21.0,21.0
502,200.0,21.0,21.0
503,200.0,21.0,21.0
504,200.0,21.0,21.0
505,200.0,21.0,21.0
506,200.0,21.0,21.0
507,200.0,21.0,21.0
508,200.0,21.0,21.0
509,200.0,21.0,21.0
510,200.0,21.0,21.0
511,200.0,21.0,21.0
512,200.0,21.0,21.0
513,200.0,21.0,21.0
514,200.0,21.0,21.0
515,200.0,21.0,21.0
516,200.0,21.0,21.0
517,200.0,21.0,21.0
518,0.0,21.0,21.0
519,0.0,21.0,21.0
520,0.0,21.0,21.0
521,0.0,21.0,21.0
522,0.0,21.0,21.0
523,0.0,21.0,21.0
524,0.0,21.0,21.0
525,0.0,21.0,21.0
526,0.0,21.0,21.0
527,0.0,21.0,21.0
528,0.0,21.0,21.0
529,0.0,21.0,21.0
530,0.0,21.0,21.0
531,0.0,21.0,21.0
532,0.0,21.0,21.0
533,0.0,21.0,21.0
534,0.0,21.0,21.0
535,0.0,21.0,21.0
536,0.0,21.0,21.0
537,0.0,21.0,21.0
538,0.0,21.0,21.0
539,0.0,21.0,21.0
540,0.0,21.0,21.0
541,0.0,21.0,21.0
542,0.0,21.0,21.0
543,0.0,21.0,21.0
544,0.0,21.0,21.0
545,0.0,21.0,21.0
546,0.0,21.0,21.0
547,0.0,21.0,21.0
548,0.0,21.0,21.0
549,0.0,21.0,21.0
550,0.0,21.0,21.0
551,0.0,21.0,21.0
552,0.0,21.0,21.0
553,0.0,21.0,21.0
554,0.0,21.0,21.0
555,0.0,21.0,21.0
556,0.0,21.0,21.0
557,0.0,21.0,21.0
558,0.0,21.0,21.0
559,0.0,21.0,21.0
560,0.0,21.0,21.0
561,0.0,21.0,21.0
562,0.0,21.0,21.0
563,0.0,21.0,21.0
564,0.0,21.0,21.0
565,0.0,21.0,21.0
566,0.0,21.0,21.0
567,0.0,21.0,21.0
568,0.0,21.0,21.0
569,0.0,21.0,21.0
570,0.0,21.0,21.0
571,0.0,21.0,21.0
572,0.0,21.0,21.0
573,0.0,21.0,21.0
574,0.0,21.0,21.0
575,0.0,21.0,21.0
576,0.0,21.0,21.0
577,0.0,21.0,21.0
578,0.0,21.0,21.0
579,0.0,21.0,21.0
580,0.0,21.0,21.0
581,0.0,21.0,21.0
582,0.0,21.0,21.0
583,0.0,21.0,21.0
584,0.0,21.0,21.0
585,0.0,21.0,21.0
586,0.0,21.0,21.0
587,0.0,21.0,21.0
588,0.0,21.0,21.0
589,0.0,21.0,21.0
590,0.0,21.0,21.0
591,0.0,21.0,21.0
592,200.0,21.0,21.0
593,200.0,21.0,21.0
594,200.0,21.0,21.0
595,200.0,21.0,21.0
596,200.0,21.0,21.0
597,200.0,21.0,21.0
598,200.0,21.0,21.0
599,200.0,21.0,21.0
600,200.0,21.0,21.0
601,200.0,21.0,21.0
602,200.0,21.0,21.0
603,200.0,21.0,21.0
604,200.0,21.0,21.0
605,200.0,21.0,21.0
606,200.0,21.0,21.0
607,200.0,21.0,21.0
608,200.0,21.0,21.0
609,200.0,21.0,21.0
610,200.0,21.0,21.0
611,200.0,21.0,21.0
612,200.0,21.0,21.0
613,200.0,21.0,21.0
614,200.0,21.0,21.0
615,200.0,21.0,21.0
616,200.0,21.0,21.0
617,200.0,21.0,21.0
618,200.0,21.0,21.0
619,200.0,21.0,21.0
620,200.0,21.0,21.0
621,200.0,21.0,21.0
622,200.0,21.0,21.0
623,200.0,21.0,21.0
624,200.0,21.0,21.0
625,200.0,21.0,21.0
626,200.0,21.0,21.0
627,200.0,21.0,21.0
628,200.0,21.0,21.0
629,200.0,21.0,21.0
630,200.0,21.0,21.0
631,200.0,21.0,21.0
632,200.0,21.0,21.0
633,200.0,21.0,21.0
634,200.0,21.0,21.0
635,200.0,21.0,21.0
636,200.0,21.0,21.0
637,200.0,21.0,21.0
638,200.0,21.0,21.0
639,200.0,21.0,21.0
640,200.0,21.0,21.0
641,200.0,21.0,21.0
642,200.0,21.0,21.0
643,200.0,21.0,21.0
644,200.0,21.0,21.0
645,200.0,21.0,21.0
646,200.0,21.0,21.0
647,200.0,21.0,21.0
648,200.0,21.0,21.0
649,200.0,21.0,21.0
650,200.0,21.0,21.0
651,200.0,21.0,21.0
652,200.0,21.0,21.0
653,200.0,21.0,21.0
654,200.0,21.0,21.0
655,200.0,21.0,21.0
656,200.0,21.0,21.0
657,200.0,21.0,21.0
658,200.0,21.0,21.0
659,200.0,21.0,21.0
660,200.0,21.0,21.0
661,200.0,21.0,21.0
662,200.0,21.0,21.0
663,200.0,21.0,21.0
664,200.0,21.0,21.0
665,200.0,21.0,21.0
